Nama;Air;Energi;Protein;Lemak;Karbohidrat;Serat;Abu;Kalsium;Fosfor;Besi;Natrium;Kalium;Tembaga;Seng;Vit. A;Vit B1;Vit B2;Vit C
ampela;4.8 g;270 kal;32.3 g;11.2 g;9.9 g;0 g;1.8 g;129 mg;314 mg;4.9 mg;980 mg;0 mg;0.12 mg;3.3 mg;56 mcg;0.21 mg;0 mg;0 mg
ayam kentucky;48.7 g;286 kal;32.1 g;16.1 g;1.1 g;0 g;2 g;89 mg;248 mg;6.9 mg;746 mg;0 mg;0.09 mg;2.3 mg;31 mcg;0.5 mg;0.21 mg;0 mg
ayam panggang;0 g;237 kal;27.07 g;13.49 g;0 g;0 g;0 g;0 mg;0 mg;0 mg;0 mg;221 mg;0 mg;0 mg;0 mcg;0 mg;0 mg;0 mg
bakpia;38.9 g;272 kal;8.7 g;6.7 g;44.1 g;0.9 g;1.6 g;194 mg;117 mg;4.5 mg;0 mg;0 mg;0 mg;0 mg;0 mcg;0.31 mg;1 mg;0 mg
bakso;0 g;202 kal;12.41 g;13.16 g;7.58 g;0.5 g;0 g;0 mg;0 mg;0 mg;0 mg;213 mg;0 mg;0 mg;0 mcg;0 mg;0 mg;0 mg
bakwan;40.5 g;280 kal;8.2 g;10.2 g;39.0 g;3.4 g;2.1 g;204 mg;79 mg;7 mg;0 mg;0 mg;0 mg;0 mg;0 mcg;0.08 mg;0 mg;0 mg
bayam;94.5 g;16 kal;0.9 g;0.4 g;2.9 g;0.7 g;1.3 g;166 mg;76 mg;3.5 mg;16 mg;456.4 mg;0.13 mg;0.4 mg;0 mcg;0.04 mg;0.1 mg;41 mg
bebek goreng;48.8 g;300 kal;24 g;20.7 g;4.5 g;0 g;2 g;170 mg;170 mg;4.1 mg;34 mg;6 mg;0.4 mg;3 mg;0 mcg;0.1 mg;0.4 mg;0 mg
belimbing;90 g;36 kal;0.4 g;0.4 g;8.8 g;3.2 g;0.4 g;4 mg;12 mg;1.1 mg;4 mg;130 mg;0 mg;0.1 mg;0 mcg;0.03 mg;0 mg;35 mg
bengkuang;85.1 g;59 kal;1.4 g;0.2 g;12.8 g;1 g;0.5 g;15 mg;18 mg;0.6 mg;2 mg;244.3 mg;0.1 mg;0.3 mg;0 mcg;0.04 mg;0.1 mg;20 mg
bihun goreng;9 g;381 kal;6.1 g;3.9 g;80.3 g;0 g;0.7 g;266 mg;151 mg;2.9 mg;928 mg;0 mg;0 mg;0 mg;58 mcg;0.37 mg;0 mg;0 mg
buah naga;85.7 g;71 kal;1.7 g;3.1 g;9.1 g;3.2 g;0.4 g;13 mg;14 mg;0.4 mg;10 mg;128 mg;0 mg;0.4 mg;0 mcg;0.5 mg;0.3 mg;1 mg
bubur ayam;0 g;155 kal;11.48 g;5.16 g;15.05 g;0.8 mg;0 g;0 mg;0 mg;0 mg;0 mg;169 mg;0 mg;0 mg;0 mcg;0 mg;0 mg;0 mg
bubur ketan hitam;56.9 g;181 kal;4 g ;1.2 g;37.3 g;0.3 g;0.6 g;9 mg;144 mg;1.7 mg;9 mg;18.4 mg;0.1 mg;0.7 mg;0 mcg;0.06 mg;0 mg;0 mg
